Name|Semantic tags|"Doppelzuordnung ""Building"" und ""Outdoor"" & Begründung"|Implikationen|OSM tag|OSM tag proposal|AccessibleMaps Categories|AccessibleMaps Entities|AccessibleMaps Property|AccessibleMaps Sub-Property|A11yJSON tag|A11yJSON property
number of floors (semantic depends on chosen tag)|<LVL>|nein|Implikation entspr. Tag; siehe andere Features mit semantischem <LVL>-Tag|building:levels=user defined, building:max_level=user defined, level=user defined, number=user defined||General help for orientation / Technical assistance|Rooms / venues / offices|number of floors|||
level 13 is non-existent|<LVL>|nein|Indoor-Objekte nicht auf entspr. Stockwerken|non_existent_levels=13|||||||
maximum indoor level|<LVL>|nein|Indoor-Objekte maximal auf diesem Stockwerk|max_level=5|||||||
minimum indoor level|<LVL>|nein|Indoor-Objekte minimal auf diesem Stockwerk|min_level=-1|||||||
changing table is located in the toilet for men|<PROP>|nein|optimalerweise sollte eine mind. 1 Wechselstation in einer solchen Toilette / eine solche Toilette mit Wechselstation-Tags erfasst sein |changing_table:location=male_toilet|||||||Restroom#toilet
changing table is located in the toilet for wheelchair users|<PROP>|nein|optimalerweise sollte eine mind. 1 Wechselstation in einer solchen Toilette / eine solche Toilette mit Wechselstation-Tags erfasst sein |changing_table:location=wheelchair_toilet|||||||Restroom#toilet
changing table is located in the toilet for women|<PROP>|nein|optimalerweise sollte eine mind. 1 Wechselstation in einer solchen Toilette / eine solche Toilette mit Wechselstation-Tags erfasst sein |changing_table:location=female_toilet|||||||Restroom#toilet
changing table is located in the unisex toilet|<PROP>|nein|optimalerweise sollte eine mind. 1 Wechselstation in einer solchen Toilette / eine solche Toilette mit Wechselstation-Tags erfasst sein |changing_table:location=unisex_toilet|||||||Restroom#toilet
diaper changing table in toilet / toilet compartment|<PROP>|nein|optimalerweise sollte eine mind. 1 Wechselstation in einer solchen Toilette / eine solche Toilette mit Wechselstation-Tags erfasst sein |changing_table=yes, changing_table=no, changing_table=limited, changing_table:count=user defined, changing_table:fee=yes, changing_table:fee=no, changing_table:location=female_toilet, changing_table:location=male_toilet, changing_table:location=unisex_toilet, changing_table:location=wheelchair_toilet||Facility daily needs|Toilet / toilet compartment|diaper changing table|||Restroom#toilet
changing table is located right in the sales area|<PROP>|nein|optimalerweise sollte eine mind. 1 solche Wechselstation / eine entsprechender logischer Raum mit Wechselstation-Tags erfasst sein|changing_table:location=sales_area|||||||
changing table is in a dedicated room|<PROP>|nein|optimalerweise sollte eine mind. 1 solche Wechselstation erfasst sein|changing_table:location=dedicated_room|||||||
diaper change possible in relaxation room|<PROP>|nein|optimalerweise sollte eine mind. 1 Wechselstation in einem solchen Raum / eine solcher Raum mit Wechselstation-Tags erfasst sein |changing_table=yes, changing_table=no, changing_table=limited, changing_table:count=user defined, changing_table:fee=yes, changing_table:fee=no, changing_table:location=room, room=relaxation||Facility daily needs|Relaxation room|diaper change|||
changing table is in a room that isn't mainly intended for changing nappies|<PROP>|nein|optimalerweise sollte eine mind. 1 solche Wechselstation erfasst sein|changing_table:location=room|||||||
type of light in building|<PROP>|nein|Konsistenz der Indoor-Informationen|light:method=gas, light:method=electric, light:method=incandescent, light:method=halogen, light:method=discharge, light:method=metal-halide, light:method=neon, light:method=sodium, light:method=high_pressure_sodium, light:method=low_pressure_sodium, light:method=fluorescent, light:method=mercury, light:method=LED, light:method=laser, light:method=arc||General building information|Light|type [10]|||PlaceInfo#accessibility
type of obstacles in building|<PROP>|nein|Konsistenz der Indoor-Informationen|building=yes, movable=no, movable=yes, obstacle:wheelchair=limited, obstacle:wheelchair=no, obstacle:wheelchair=step, obstacle:wheelchair=yes||Building characteristics|Obstacles|type [11]|||Pathways#widthAtObstacles
not part of building|<PRT>|nein|keine Indoor-Objekte innerhalb|building:part=no|||||||
building bottom starts 3 levels over ground|<LVL>|nein||building:min_level=3|||||||
digester building, a bioreactor for the production of biogas from biomass|<TYP>|nein||building=digester|||||||
barn building, agricultural building used for storage and as a covered workplace|<TYP>|nein||building=barn|||||||
houseboat, boat used primarily as a home, staying at a single permanent location|<TYP>|nein||building=houseboat|||||||
apartments building, arranged into individual dwellings|<TYP>|nein||building=apartments|||||||
building built as a supermarket|<TYP>|nein||building=supermarket||General help for orientation / Technical assistance|Stores|type [5]|supermarket||PlaceInfo#category
building built as chapel|<TYP>|nein||building=chapel|||||||PlaceInfo#category
building built to house government offices|<TYP>|nein||building=government|||||||PlaceInfo#category
building constructed as accessible to the general public|<TYP>|nein||building=public|||||||PlaceInfo#accessibility, PlaceInfo#category
building constructed for non-specific commercial activities to take place there|<TYP>|nein||building=commercial|||||||PlaceInfo#category
fire station building|<TYP>|nein||building=fire_station|||||||PlaceInfo#category
toilets building|<TYP>|nein||building=toilets|||||||PlaceInfo#category, Restroom#toilet
hotel building, designed with separate rooms available for overnight accommodation|<TYP>|nein||building=hotel|||||||PlaceInfo#category
bakehouse, building for baking bread|<TYP>|nein||building=bakehouse|||||||PlaceInfo#category
cowshed, building for housing cows|<TYP>|nein||building=cowshed|||||||PlaceInfo#category
sty, building for raising domestic pigs|<TYP>|nein||building=sty|||||||PlaceInfo#category
building hosting any civic amenity|<TYP>|nein||building=civic|||||||PlaceInfo#category
greenhouse, building in which plants are grown|<TYP>|nein||building=greenhouse|||||||PlaceInfo#category
auxiliary farm building, inspecific building on a farm that is not a dwelling|<TYP>|nein||building=farm_auxiliary|||||||PlaceInfo#category
roof-style building, open on at least two sides|<TYP>|nein||building=roof|||||||
convservatory, building or room having glass or tarpaulin roofing and walls|<TYP>|nein||building=conservatory|||||||
